,target
11870,0
11873,0
11884,0
11885,0
11886,1
11891,0
11892,1
11895,0
11907,0
11910,1
11911,0
11921,0
11923,1
11938,0
11939,0
11941,1
11945,0
11948,0
11949,0
11975,0
11983,1
11987,1
11989,0
11991,1
11992,0
11994,0
11997,0
12008,0
12020,0
12021,0
12026,0
12027,1
12028,0
12033,1
12044,1
12046,1
12052,0
12054,0
12055,0
12057,1
12060,0
12062,1
12067,0
12068,1
12070,0
12072,1
12075,0
12082,0
12087,1
12089,0
12100,0
12106,0
12111,0
12112,0
12113,0
12114,0
12115,1
12118,0
12122,0
12128,0
12129,0
12139,1
12142,0
12143,0
12151,0
12169,0
12172,0
12173,1
12183,0
12190,0
12195,0
12197,0
12206,0
12211,0
12212,1
12214,0
12222,1
12252,1
12256,0
12258,0
12259,0
12268,1
12271,0
12283,1
12288,0
12290,1
12299,0
12300,1
12306,0
12309,0
12311,1
12317,0
12320,0
12323,1
12324,0
12331,0
12336,0
12341,0
12348,0
12354,0
12355,1
12365,0
12368,0
12373,0
12379,1
12382,1
12386,0
12387,0
12394,0
12400,1
12403,0
12404,1
12410,0
12418,0
12419,0
12422,0
12430,0
12438,0
12443,0
12444,1
12448,1
12450,0
12456,1
12460,0
12462,0
12468,0
12471,0
12474,0
12483,1
12491,0
12492,0
12493,0
12497,0
12505,0
12506,1
12516,0
12528,0
12530,1
12539,0
12542,0
12547,0
12554,1
12556,0
12557,1
12563,0
12570,0
12577,0
12579,0
12592,1
12594,1
12598,0
12602,0
12605,0
12608,0
12619,0
12626,1
12637,0
12646,0
12649,1
12650,0
12651,0
12652,0
12669,1
12682,0
12690,0
12704,0
12705,0
12706,1
12710,0
12721,0
12729,0
12734,0
12735,0
12743,0
12744,0
12751,0
12754,0
12757,1
12758,1
12760,0
12765,0
12785,0
12787,1
12792,1
12795,1
12803,0
12809,0
12814,1
12818,0
12827,0
12831,0
12833,0
12834,0
12836,0
12837,0
12841,0
12844,1
12846,0
12858,0
12862,0
12864,0
12869,0
12876,1
12877,0
12884,0
12886,0
12887,0
12890,1
12892,0
12898,0
12899,1
12902,0
12904,0
12907,0
12915,1
12919,0
12920,1
12921,0
12922,1
12926,0
12929,1
12932,0
12934,1
12941,0
12943,0
12955,0
12957,0
12966,1
12980,1
12981,0
12983,0
12984,1
12985,0
12988,0
12997,1
12999,0
13006,0
13018,0
13021,1
13024,1
13025,0
13031,1
13032,0
13035,1
13036,0
13038,0
13043,0
13044,0
13053,1
13055,1
13067,0
13070,0
13095,1
13099,0
13101,0
13105,0
13113,0
13116,1
13118,0
13119,1
13123,0
13125,1
13127,0
13133,1
13138,0
13140,0
13153,0
13157,0
13159,0
13163,0
13173,1
13177,0
13180,1
13184,1
13191,0
13204,0
13207,1
13208,0
13210,0
13231,0
13236,0
13239,1
13240,1
13242,0
13247,0
13253,1
13259,1
13261,1
13264,0
13273,0
13276,0
13285,0
13286,0
13294,0
13296,1
13305,0
13306,0
13307,0
13320,1
13321,0
13322,0
13326,0
13346,0
13351,0
